property_id,city,state,county,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,last_sale_price,assessed_value,owner_occupied,avm_value_modelA,avm_value_modelB,assessment_ratio,assessment_flag,avm_residual_pct
P-100032,Charlotte,NC,Mecklenburg,Townhouse,7,1.0,3444,12172,1974,635986.65,605324.61,True,634047.42,523989.79,1.0507,Within band,0.3
P-100033,Queens,NY,Queens,Condo,7,4.5,4408,11544,2013,2257047.59,2382345.21,False,2336201.76,2492020.01,0.9474,Within band,-3.51
P-100034,Nashville,TN,Davidson,Condo,3,3.0,5483,16971,1955,553517.0,600244.23,True,637663.57,664615.69,0.9222,Within band,-15.2
P-100035,Boise,ID,Ada,Condo,3,3.5,4476,13544,1987,388130.77,374591.43,True,392056.74,591322.69,1.0361,Within band,-1.01
P-100036,Las Vegas,NV,Clark,Townhouse,7,5.0,5488,10124,1932,769450.12,668071.18,True,730319.04,563381.23,1.1517,Under-assessed,5.09
P-100037,Denver,CO,Denver,Single Family,4,4.5,3391,6411,1926,602974.07,568796.75,False,550732.85,707637.0,1.0601,Within band,8.66
P-100038,Queens,NY,Queens,Multi Family,5,2.5,4880,11112,1977,3220938.35,3407913.82,False,3298961.79,2620815.8,0.9451,Within band,-2.42
P-100040,Durham,NC,Durham,Single Family,3,2.0,1184,2161,1941,738250.28,756475.7,True,740087.16,640712.5,0.9759,Within band,-0.25
P-100042,Lexington,KY,Fayette,Condo,2,4.0,5800,13856,1931,486608.11,437943.66,True,475156.33,548848.76,1.1111,Under-assessed,2.35
P-100043,Indianapolis,IN,Marion,Multi Family,7,5.0,609,11384,1989,480341.55,411304.35,True,481106.39,531031.88,1.1678,Under-assessed,-0.16
P-100044,Naperville,IL,DuPage,Single Family,1,2.5,6414,9008,1959,549654.43,506999.71,False,545990.55,629407.95,1.0841,Within band,0.67
P-100045,Queens,NY,Queens,Single Family,4,2.5,4341,13372,1938,1619937.34,1542945.39,False,1653274.88,2042884.95,1.0499,Within band,-2.06
P-100046,Nashville,TN,Davidson,Townhouse,5,4.5,1817,9133,1988,497786.28,480650.1,False,510454.61,518745.15,1.0357,Within band,-2.54
P-100047,Tucson,AZ,Pima,Multi Family,4,2.0,4657,5263,1936,511787.1,460402.86,True,501127.86,551213.3,1.1116,Under-assessed,2.08
P-100048,Houston,TX,Harris,Condo,3,4.0,5923,7238,1962,784826.24,753501.23,False,801247.09,817032.31,1.0416,Within band,-2.09
P-100050,Decatur,GA,DeKalb,Condo,4,2.0,2502,10057,2001,318102.32,318118.93,True,334045.89,391167.75,0.9999,Within band,-5.01
P-100051,Aurora,CO,Arapahoe,Multi Family,7,4.5,1473,5359,1968,986307.23,876592.11,True,960808.85,849517.97,1.1252,Under-assessed,2.59
P-100052,San Diego,CA,San Diego,Condo,5,3.0,6152,17963,2018,2460503.7,2069366.71,True,2292203.94,1940265.01,1.189,Under-assessed,6.84
P-100053,Columbus,OH,Franklin,Condo,2,5.0,3597,12294,1984,832519.84,707111.82,False,746860.06,524085.92,1.1774,Under-assessed,10.29
P-100056,Cleveland,OH,Cuyahoga,Multi Family,6,1.5,4608,14694,1972,852461.39,690335.92,False,785516.57,607692.62,1.2349,Under-assessed,7.85
P-100057,Cleveland,OH,Cuyahoga,Single Family,7,4.5,1350,12208,1947,620529.48,677201.19,False,677465.74,598679.51,0.9163,Within band,-9.18
P-100058,Oakland,CA,Alameda,Townhouse,7,2.0,5482,5528,1955,3068138.69,3363472.17,False,3112349.55,2036713.17,0.9122,Within band,-1.44
P-100059,Knoxville,TN,Knox,Multi Family,5,1.5,1120,8922,1977,726853.29,710935.06,False,777096.61,518999.78,1.0224,Within band,-6.91
P-100060,Charleston,SC,Charleston,Single Family,7,4.0,4092,15333,1933,502409.71,413004.5,True,485756.99,415296.67,1.2165,Under-assessed,3.31
P-100062,Philadelphia,PA,Philadelphia,Multi Family,3,3.0,3666,6166,2007,839928.33,694929.35,False,754906.77,455239.08,1.2087,Under-assessed,10.12
P-100063,Fort Wayne,IN,Allen,Multi Family,7,1.0,2956,12793,1959,394284.02,375446.61,True,402764.81,399423.16,1.0502,Within band,-2.15
P-100064,Cleveland,OH,Cuyahoga,Condo,7,5.0,815,10792,2004,766979.42,620245.48,True,725026.04,716095.26,1.2366,Under-assessed,5.47
P-100065,Louisville,KY,Jefferson,Single Family,6,5.0,2362,8525,1973,473843.72,431679.18,True,455322.31,429638.06,1.0977,Within band,3.91
P-100066,Queens,NY,Queens,Multi Family,4,4.5,3992,8467,1947,2752576.59,2487095.69,True,2721745.25,1993754.1,1.1067,Under-assessed,1.12
P-100067,Lakewood,CO,Jefferson,Condo,3,2.5,1724,5910,1957,693746.83,658515.31,False,748255.67,681176.87,1.0535,Within band,-7.86
P-100068,Irvine,CA,Orange,Townhouse,5,4.0,5297,11923,2010,2402432.09,2004954.53,True,2299821.22,1875544.13,1.1982,Under-assessed,4.27
P-100069,Fort Lauderdale,FL,Broward,Condo,6,3.5,2415,7871,2019,251143.51,248623.89,True,267794.42,389683.79,1.0101,Within band,-6.63
P-100070,Scottsdale,AZ,Maricopa,Single Family,2,4.5,4400,13636,2017,571985.11,616168.83,False,600902.37,565525.17,0.9283,Within band,-5.06
P-100071,Las Vegas,NV,Clark,Condo,5,1.0,3483,11795,1929,362118.12,293779.98,False,343596.74,373408.69,1.2326,Under-assessed,5.11
P-100072,Boston,MA,Suffolk,Single Family,4,2.5,3233,13145,1980,1979170.27,1850834.8,False,1921060.61,2140199.81,1.0693,Within band,2.94
P-100073,Charlotte,NC,Mecklenburg,Townhouse,3,4.0,3948,9491,2006,586350.97,580057.06,False,588726.33,536558.27,1.0109,Within band,-0.41
P-100075,Sacramento,CA,Sacramento,Condo,3,4.5,2172,5883,1937,922582.78,971782.75,False,1028952.41,967613.53,0.9494,Within band,-11.53
P-100076,Omaha,NE,Douglas,Townhouse,7,2.0,4185,4900,1972,404153.54,352122.43,False,393136.51,497449.93,1.1478,Under-assessed,2.73
P-100077,Lakewood,CO,Jefferson,Single Family,4,3.0,3728,11967,1987,802392.99,838554.73,False,901028.89,564403.1,0.9569,Within band,-12.29
P-100078,Indianapolis,IN,Marion,Single Family,5,2.0,4183,5685,1948,757028.54,685016.6,True,745027.4,579802.63,1.1051,Under-assessed,1.59
P-100080,Waukegan,IL,Lake,Single Family,1,2.5,4039,14507,2021,605792.24,504780.85,True,512936.36,520832.03,1.2001,Under-assessed,15.33
P-100081,Manhattan,NY,New York,Multi Family,2,1.5,4888,10796,1928,3357881.22,3197368.82,True,3287538.72,2067087.15,1.0502,Within band,2.09
P-100082,Cleveland,OH,Cuyahoga,Single Family,7,3.5,1692,2418,1965,545890.72,541981.42,False,588732.75,677036.25,1.0072,Within band,-7.85
P-100083,Oakland,CA,Alameda,Single Family,3,3.0,4822,11346,1989,1893869.29,1943085.79,False,1911832.77,1121957.24,0.9747,Within band,-0.95
P-100084,Seattle,WA,King,Multi Family,3,2.0,4664,16002,1983,1570408.13,1500969.01,False,1693805.78,1201205.45,1.0463,Within band,-7.86
P-100085,Provo,UT,Utah,Condo,4,4.0,1965,13266,1976,394206.65,401319.84,False,411669.57,415965.6,0.9823,Within band,-4.43
P-100086,Columbus,OH,Franklin,Single Family,1,2.0,1150,5016,2019,623227.04,570163.2,True,593041.57,468169.27,1.0931,Within band,4.84
P-100087,Cleveland,OH,Cuyahoga,Townhouse,6,3.0,2644,4502,1923,693826.39,662828.71,False,713680.19,726470.36,1.0468,Within band,-2.86
P-100088,Fairfax,VA,Fairfax,Single Family,1,3.5,6070,11762,2010,377926.89,335262.23,False,381390.11,488048.95,1.1273,Under-assessed,-0.92
P-100089,Atlanta,GA,Fulton,Single Family,2,4.5,815,6727,1990,566376.38,589653.61,True,658545.01,507484.85,0.9605,Within band,-16.27
P-100091,Tampa,FL,Hillsborough,Condo,3,5.0,2926,4218,1952,273115.5,240979.45,True,266500.42,386238.11,1.1334,Under-assessed,2.42
P-100092,Queens,NY,Queens,Single Family,1,3.0,5934,9387,2018,2195018.47,2176794.02,False,2469935.23,1911035.11,1.0084,Within band,-12.52
P-100093,Baltimore,MD,Baltimore,Single Family,4,4.0,4566,12175,1946,708231.08,632999.06,True,691375.01,631639.92,1.1189,Under-assessed,2.38
P-100095,Lawrenceville,GA,Gwinnett,Single Family,1,1.5,3821,12102,1978,874015.57,852168.01,False,867101.33,568250.96,1.0256,Within band,0.79
P-100096,Rockville,MD,Montgomery,Townhouse,7,4.0,3597,4338,1971,361389.22,310215.27,True,354256.49,579082.74,1.165,Under-assessed,1.97
P-100097,Wichita,KS,Sedgwick,Townhouse,5,3.5,1781,5042,1997,517115.56,419937.38,True,485873.79,551902.38,1.2314,Under-assessed,6.04
P-100098,Brooklyn,NY,Kings,Condo,5,3.5,4755,13106,1988,1944032.29,1730066.59,False,1909832.82,1828890.07,1.1237,Under-assessed,1.76
P-100099,Oklahoma City,OK,Oklahoma,Townhouse,2,1.0,5380,13251,1941,528901.22,521454.68,True,537418.17,564503.08,1.0143,Within band,-1.61
P-100100,Portland,OR,Multnomah,Condo,7,4.5,1110,12673,1937,922419.85,827885.52,False,886596.03,780861.79,1.1142,Under-assessed,3.88
P-100101,Nashville,TN,Davidson,Condo,5,4.5,2175,6213,1955,555307.59,601090.29,False,587522.89,558020.14,0.9238,Within band,-5.8
P-100102,Memphis,TN,Shelby,Multi Family,4,3.5,1799,6557,1925,344351.67,283645.51,True,323521.73,376863.53,1.214,Under-assessed,6.05
P-100103,Seattle,WA,King,Condo,2,1.0,6087,14787,1948,2395730.95,1988598.97,False,2381141.4,2265679.58,1.2047,Under-assessed,0.61
P-100104,Philadelphia,PA,Philadelphia,Townhouse,3,1.0,1332,12019,1993,301131.76,306231.52,False,303511.03,365363.65,0.9833,Within band,-0.79
P-100105,Troy,MI,Oakland,Townhouse,5,1.5,3344,8006,1978,891497.59,853426.69,True,856609.36,694092.16,1.0446,Within band,3.91
P-100106,Kansas City,MO,Jackson,Townhouse,6,2.5,2037,12046,2001,819693.35,760930.33,True,791654.25,534406.54,1.0772,Within band,3.42
P-100107,Charlotte,NC,Mecklenburg,Townhouse,3,1.0,2742,13451,1966,660359.5,660581.27,True,681412.68,507683.9,0.9997,Within band,-3.19
P-100108,Honolulu,HI,Honolulu,Single Family,2,4.5,5562,11683,1973,2590919.22,2661405.58,False,2655832.27,2053450.76,0.9735,Within band,-2.51
P-100109,San Francisco,CA,San Francisco,Townhouse,1,1.0,5086,13367,1945,2196740.11,1865825.7,False,2082341.08,1772198.24,1.1774,Under-assessed,5.21
P-100110,Eugene,OR,Lane,Single Family,5,4.5,6111,11160,2012,326124.55,340779.27,True,342350.3,566381.63,0.957,Within band,-4.98
P-100111,Provo,UT,Utah,Single Family,7,4.0,3667,9933,1977,798303.82,728606.84,False,795800.18,567550.18,1.0957,Within band,0.31
P-100112,Tampa,FL,Hillsborough,Single Family,7,1.0,3044,10629,2006,680893.3,653371.65,True,665278.7,642611.47,1.0421,Within band,2.29
P-100113,Fort Worth,TX,Tarrant,Single Family,4,1.0,2604,3328,1971,462390.99,400051.79,False,437828.32,460860.1,1.1558,Under-assessed,5.31
P-100114,Las Vegas,NV,Clark,Condo,2,4.0,3061,7569,1927,554240.13,589663.93,True,611615.97,476590.56,0.9399,Within band,-10.35
P-100115,Columbia,SC,Richland,Condo,4,2.5,2446,7373,2010,232594.36,249904.58,True,276209.99,518345.03,0.9307,Within band,-18.75
P-100116,Naperville,IL,DuPage,Condo,1,3.0,3689,14726,1997,590279.2,485112.28,True,569672.14,567191.29,1.2168,Under-assessed,3.49
P-100117,Waukegan,IL,Lake,Condo,4,2.5,5122,10391,2019,340786.17,327187.11,False,338284.5,394513.88,1.0416,Within band,0.73
P-100119,Billings,MT,Yellowstone,Single Family,4,2.0,3485,6258,1937,681844.55,583123.23,True,647713.77,504202.27,1.1693,Under-assessed,5.01
P-100120,San Diego,CA,San Diego,Single Family,1,2.5,4742,12213,1967,634372.86,634389.62,True,633717.43,1045845.34,1.0,Within band,0.1
P-100121,Indianapolis,IN,Marion,Condo,1,5.0,6316,17359,1975,748810.81,623089.17,False,720903.14,704627.03,1.2018,Under-assessed,3.73
P-100122,Seattle,WA,King,Condo,6,2.5,3057,14264,1930,2443893.94,2431597.09,True,2418991.58,2192151.66,1.0051,Within band,1.02
P-100124,Atlanta,GA,Fulton,Multi Family,1,3.0,1930,11169,1950,562022.82,515232.72,True,553488.63,532133.1,1.0908,Within band,1.52
P-100125,Boston,MA,Suffolk,Townhouse,5,4.0,3273,3758,2001,1283647.44,1215846.51,True,1309562.71,1697749.28,1.0558,Within band,-2.02
P-100126,San Francisco,CA,San Francisco,Single Family,6,4.0,3194,9103,1933,729137.31,680591.9,True,746870.24,1754460.72,1.0713,Within band,-2.43
P-100127,Fort Wayne,IN,Allen,Single Family,5,3.5,3755,3957,1957,442771.85,365468.25,True,416340.27,459794.35,1.2115,Under-assessed,5.97
P-100128,Cincinnati,OH,Hamilton,Single Family,2,4.0,2860,9759,1958,497700.42,452079.94,False,476453.22,486811.82,1.1009,Under-assessed,4.27
P-100129,Fort Lauderdale,FL,Broward,Townhouse,4,3.5,4206,9690,1975,756070.87,752525.7,False,780527.83,620873.21,1.0047,Within band,-3.23
P-100130,Atlanta,GA,Fulton,Townhouse,7,2.5,3269,9430,1955,756865.72,688372.9,False,758146.41,672119.62,1.0995,Within band,-0.17
P-100131,Naperville,IL,DuPage,Multi Family,6,4.5,1740,12116,1958,308776.51,261299.95,False,294968.23,330586.39,1.1817,Under-assessed,4.47
P-100133,Reno,NV,Washoe,Condo,5,2.5,4251,10380,1970,481189.3,469918.4,True,495577.31,399043.63,1.024,Within band,-2.99
P-100134,Orlando,FL,Orange,Condo,4,3.5,4500,6099,1976,683155.28,611883.63,True,662168.71,588300.8,1.1165,Under-assessed,3.07
P-100135,Hempstead,NY,Nassau,Single Family,2,4.0,5758,8780,1943,2403460.57,2207998.45,True,2414043.58,1857977.35,1.0885,Within band,-0.44
P-100136,Austin,TX,Travis,Single Family,5,1.5,4998,8061,1966,374268.23,312209.5,True,357495.68,497276.16,1.1988,Under-assessed,4.48
P-100137,Wichita,KS,Sedgwick,Single Family,7,3.0,5633,15302,1930,644245.86,538176.25,True,609122.74,541210.76,1.1971,Under-assessed,5.45
P-100138,Pittsburgh,PA,Allegheny,Condo,6,2.0,5145,7878,1982,345291.12,308819.4,True,354139.0,518263.45,1.1181,Under-assessed,-2.56
P-100139,Fort Wayne,IN,Allen,Single Family,4,2.0,1277,10540,1923,740787.09,657542.6,False,727721.71,456709.23,1.1266,Under-assessed,1.76
P-100140,Arlington,VA,Arlington,Condo,7,3.5,5040,5721,2017,1162776.29,1006455.65,True,1130205.71,963552.08,1.1553,Under-assessed,2.8
P-100141,Memphis,TN,Shelby,Townhouse,6,3.5,6422,16420,2000,453970.31,382138.81,True,397664.38,759407.08,1.188,Under-assessed,12.4
P-100143,Fairfax,VA,Fairfax,Single Family,4,5.0,2879,14261,1967,845634.78,759537.98,False,751141.2,690973.11,1.1134,Under-assessed,11.17
P-100144,Honolulu,HI,Honolulu,Condo,4,3.0,3244,7890,1963,2119297.13,2055384.71,True,2142733.9,1708500.38,1.0311,Within band,-1.11
P-100145,Dallas,TX,Dallas,Multi Family,2,2.0,5924,10869,1940,802050.23,707573.39,False,789691.76,629950.02,1.1335,Under-assessed,1.54
P-100146,Hempstead,NY,Nassau,Condo,4,1.5,6364,7923,1920,1100934.59,924575.81,True,1056212.12,1433072.21,1.1907,Under-assessed,4.06
P-100147,Minneapolis,MN,Hennepin,Single Family,1,3.5,3611,8513,1937,418522.42,429381.96,True,437998.23,475558.42,0.9747,Within band,-4.65
P-100148,Houston,TX,Harris,Single Family,4,4.5,2379,3799,1932,229210.25,223909.12,False,240822.37,342742.93,1.0237,Within band,-5.07
P-100149,Tacoma,WA,Pierce,Condo,7,1.0,5993,10935,1946,2029134.84,1738144.64,True,2034548.67,2025577.81,1.1674,Under-assessed,-0.27
P-100150,Honolulu,HI,Honolulu,Townhouse,3,2.0,3768,13080,1973,1564508.01,1332696.57,True,1509243.97,1454228.14,1.1739,Under-assessed,3.53
P-100152,Salt Lake City,UT,Salt Lake,Single Family,3,4.0,2554,3502,1951,187245.98,156312.19,False,178295.38,246369.65,1.1979,Under-assessed,4.78
P-100153,Tampa,FL,Hillsborough,Condo,5,3.0,1967,8059,1936,704825.58,620690.09,False,691785.01,555177.89,1.1356,Under-assessed,1.85
P-100154,Durham,NC,Durham,Single Family,7,2.0,3612,6189,1952,723196.58,724813.74,True,750450.44,649033.38,0.9978,Within band,-3.77
P-100155,Charlotte,NC,Mecklenburg,Single Family,5,4.0,2439,7711,1951,444680.15,398424.76,False,446395.9,369689.46,1.1161,Under-assessed,-0.39
P-100156,Atlanta,GA,Fulton,Condo,7,3.0,3281,4696,1990,476262.02,409681.23,True,481042.33,570600.07,1.1625,Under-assessed,-1.0
P-100157,Chicago,IL,Cook,Condo,5,3.5,5809,17170,1921,861772.4,885625.18,True,850053.22,761405.64,0.9731,Within band,1.36
P-100158,Fairfax,VA,Fairfax,Condo,4,3.5,4355,5746,1994,414692.41,411028.48,True,440208.57,535573.28,1.0089,Within band,-6.15
P-100160,St. Louis,MO,St. Louis,Townhouse,1,2.5,3285,5715,1931,674702.77,619966.39,True,671327.48,536355.7,1.0883,Within band,0.5
P-100161,Fort Wayne,IN,Allen,Single Family,1,1.0,1105,4746,1936,274543.77,250293.85,True,275546.42,443816.39,1.0969,Within band,-0.37
P-100162,Dallas,TX,Dallas,Townhouse,1,1.0,4376,5205,1941,840822.75,879925.73,True,854293.3,678923.96,0.9556,Within band,-1.6
P-100163,Tacoma,WA,Pierce,Condo,6,3.0,4686,11436,1990,1911044.34,1689234.77,True,1869948.27,2116940.24,1.1313,Under-assessed,2.15
P-100165,Miami,FL,Miami-Dade,Single Family,7,2.5,5316,11679,1965,849460.71,723837.03,True,789563.6,684072.42,1.1736,Under-assessed,7.05
P-100166,San Antonio,TX,Bexar,Single Family,5,3.0,2038,10073,1924,190400.75,186687.71,False,194093.65,291484.24,1.0199,Within band,-1.94
P-100167,Jacksonville,FL,Duval,Single Family,7,1.5,4911,10889,1929,411400.81,377945.15,False,425371.15,498806.25,1.0885,Within band,-3.4
P-100169,Fort Worth,TX,Tarrant,Single Family,2,3.5,1237,5136,1964,886256.13,878152.23,False,877512.08,708859.32,1.0092,Within band,0.99
P-100171,Lexington,KY,Fayette,Condo,1,3.5,2739,4454,1929,386610.4,352835.1,True,373993.18,467226.39,1.0957,Within band,3.26
P-100172,San Antonio,TX,Bexar,Single Family,3,2.5,2156,8861,2009,552207.7,531244.59,True,546401.76,470174.08,1.0395,Within band,1.05
P-100173,Indianapolis,IN,Marion,Condo,7,4.5,2235,3824,1923,281423.33,249775.43,False,279555.72,432205.26,1.1267,Under-assessed,0.66
P-100174,Sacramento,CA,Sacramento,Single Family,4,1.0,2756,9960,1979,1253372.47,1103680.44,True,1270620.82,1883414.59,1.1356,Under-assessed,-1.38
P-100175,Memphis,TN,Shelby,Multi Family,7,5.0,4029,12802,2007,796177.33,773736.5,False,811953.42,649841.05,1.029,Within band,-1.98
P-100176,Boston,MA,Suffolk,Single Family,2,2.5,1633,2332,1974,689023.99,641218.11,True,706522.41,980364.23,1.0746,Within band,-2.54
P-100177,Sacramento,CA,Sacramento,Single Family,7,1.0,6337,16545,1995,2043814.13,1704041.58,False,1950727.34,2016794.27,1.1994,Under-assessed,4.55
P-100178,Fort Lauderdale,FL,Broward,Multi Family,3,4.0,5964,13919,1993,594990.48,506729.54,False,570194.53,634627.26,1.1742,Under-assessed,4.17
P-100179,Troy,MI,Oakland,Townhouse,1,3.5,3082,8176,1955,777420.32,784304.26,True,772029.46,534439.4,0.9912,Within band,0.69
P-100180,Seattle,WA,King,Multi Family,6,4.5,4831,10957,1927,2021572.59,1657052.91,False,1844271.09,2038862.63,1.22,Under-assessed,8.77
P-100181,San Antonio,TX,Bexar,Single Family,1,3.5,6372,9634,1955,407314.5,387575.19,True,404162.59,569534.93,1.0509,Within band,0.77
P-100183,Naperville,IL,DuPage,Single Family,4,2.0,5903,8740,1996,744674.55,652124.26,True,719349.95,625050.7,1.1419,Under-assessed,3.4
P-100185,Tacoma,WA,Pierce,Condo,2,2.0,4837,8774,1927,2906560.96,3031568.35,False,3037719.41,2379159.62,0.9588,Within band,-4.51
P-100186,Durham,NC,Durham,Townhouse,7,2.5,3411,15314,2011,293443.29,290947.28,True,295047.68,495178.66,1.0086,Within band,-0.55
P-100188,Rockville,MD,Montgomery,Multi Family,5,3.0,3984,4869,1939,464838.31,419656.48,True,454268.56,550076.57,1.1077,Under-assessed,2.27
P-100189,San Francisco,CA,San Francisco,Single Family,1,4.5,2840,6270,2017,2809303.93,2891743.29,True,2890689.26,1606105.39,0.9715,Within band,-2.9
P-100190,Honolulu,HI,Honolulu,Single Family,5,2.5,3656,3886,1961,2758385.6,2364413.7,True,2368406.82,1397089.25,1.1666,Under-assessed,14.14
P-100191,Lakewood,CO,Jefferson,Single Family,7,1.0,3042,7806,1978,1173398.29,1123218.26,False,1184328.13,1112176.39,1.0447,Within band,-0.93
P-100193,San Diego,CA,San Diego,Single Family,6,1.5,4014,11293,1968,826964.94,779264.69,True,803558.47,1526507.23,1.0612,Within band,2.83
P-100194,Miami,FL,Miami-Dade,Single Family,5,1.5,2915,4782,2020,202885.69,199375.88,False,208715.17,268306.33,1.0176,Within band,-2.87
P-100195,Bronx,NY,Bronx,Condo,1,1.0,6102,7560,1934,2997458.1,2842283.32,False,3019226.05,2199655.26,1.0546,Within band,-0.73
P-100196,Kansas City,MO,Jackson,Single Family,7,3.0,3550,14638,1960,452276.26,374710.67,False,414682.19,543569.85,1.207,Under-assessed,8.31
P-100197,Knoxville,TN,Knox,Single Family,4,4.0,4339,8792,1969,658123.9,684428.93,True,713063.17,499792.35,0.9616,Within band,-8.35
P-100198,Bronx,NY,Bronx,Single Family,2,4.0,3537,13553,1923,3080856.11,3239707.96,False,3071135.87,2193910.33,0.951,Within band,0.32
P-100199,Los Angeles,CA,Los Angeles,Condo,7,2.5,6087,11629,1986,2045464.68,2015747.57,True,2100498.02,2045926.91,1.0147,Within band,-2.69
P-100200,Queens,NY,Queens,Single Family,7,4.5,1954,3180,2016,1949526.28,1753147.48,False,1938024.66,1533307.97,1.112,Under-assessed,0.59
P-100201,Scottsdale,AZ,Maricopa,Single Family,4,3.5,1572,9720,2015,629630.94,579910.18,False,615735.21,388927.03,1.0857,Within band,2.21
P-100202,Honolulu,HI,Honolulu,Townhouse,3,1.0,2426,9871,1962,2158460.08,2115259.25,True,2191795.98,1569211.54,1.0204,Within band,-1.54
P-100203,Nashville,TN,Davidson,Single Family,2,4.5,1750,13494,2015,682816.09,598342.72,True,645535.93,614104.22,1.1412,Under-assessed,5.46
P-100204,Nashville,TN,Davidson,Townhouse,1,4.5,4346,15134,1995,865828.45,943022.62,False,872615.08,799161.94,0.9181,Within band,-0.78
P-100205,Atlanta,GA,Fulton,Townhouse,3,5.0,3751,10610,1997,834409.99,729667.87,False,811634.71,561367.58,1.1435,Under-assessed,2.73
P-100206,Cambridge,MA,Middlesex,Townhouse,6,3.0,6224,11881,2006,854648.77,850397.68,True,880402.72,1247624.42,1.005,Within band,-3.01
P-100207,Fort Wayne,IN,Allen,Condo,7,4.0,704,9268,1933,139712.27,113993.97,False,140758.23,255245.79,1.2256,Under-assessed,-0.75
