property_id,city,state,county,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,last_sale_price,assessed_value,owner_occupied
P-100027,San Francisco,CA,San Francisco,Condo,1,4.0,3939,9360,1989,1871069.13,1612955.74,False
P-100028,Cincinnati,OH,Hamilton,Multi Family,5,5.0,5541,9154,1982,291148.88,275337.34,False
P-100029,Jacksonville,FL,Duval,Single Family,6,4.0,1711,9275,1943,159222.01,143014.13,True
P-100032,Charlotte,NC,Mecklenburg,Townhouse,7,1.0,3444,12172,1974,635986.65,605324.61,True
P-100033,Queens,NY,Queens,Condo,7,4.5,4408,11544,2013,2257047.59,2382345.21,False
P-100034,Nashville,TN,Davidson,Condo,3,3.0,5483,16971,1955,553517.0,600244.23,True
P-100035,Boise,ID,Ada,Condo,3,3.5,4476,13544,1987,388130.77,374591.43,True
P-100036,Las Vegas,NV,Clark,Townhouse,7,5.0,5488,10124,1932,769450.12,668071.18,True
P-100037,Denver,CO,Denver,Single Family,4,4.5,3391,6411,1926,602974.07,568796.75,False
P-100038,Queens,NY,Queens,Multi Family,5,2.5,4880,11112,1977,3220938.35,3407913.82,False
P-100040,Durham,NC,Durham,Single Family,3,2.0,1184,2161,1941,738250.28,756475.7,True
P-100042,Lexington,KY,Fayette,Condo,2,4.0,5800,13856,1931,486608.11,437943.66,True
P-100043,Indianapolis,IN,Marion,Multi Family,7,5.0,609,11384,1989,480341.55,411304.35,True
P-100044,Naperville,IL,DuPage,Single Family,1,2.5,6414,9008,1959,549654.43,506999.71,False
P-100045,Queens,NY,Queens,Single Family,4,2.5,4341,13372,1938,1619937.34,1542945.39,False
P-100046,Nashville,TN,Davidson,Townhouse,5,4.5,1817,9133,1988,497786.28,480650.1,False
P-100047,Tucson,AZ,Pima,Multi Family,4,2.0,4657,5263,1936,511787.1,460402.86,True
P-100048,Houston,TX,Harris,Condo,3,4.0,5923,7238,1962,784826.24,753501.23,False
P-100050,Decatur,GA,DeKalb,Condo,4,2.0,2502,10057,2001,318102.32,318118.93,True
P-100051,Aurora,CO,Arapahoe,Multi Family,7,4.5,1473,5359,1968,986307.23,876592.11,True
P-100052,San Diego,CA,San Diego,Condo,5,3.0,6152,17963,2018,2460503.7,2069366.71,True
P-100053,Columbus,OH,Franklin,Condo,2,5.0,3597,12294,1984,832519.84,707111.82,False
P-100056,Cleveland,OH,Cuyahoga,Multi Family,6,1.5,4608,14694,1972,852461.39,690335.92,False
P-100057,Cleveland,OH,Cuyahoga,Single Family,7,4.5,1350,12208,1947,620529.48,677201.19,False
P-100058,Oakland,CA,Alameda,Townhouse,7,2.0,5482,5528,1955,3068138.69,3363472.17,False
P-100059,Knoxville,TN,Knox,Multi Family,5,1.5,1120,8922,1977,726853.29,710935.06,False
P-100060,Charleston,SC,Charleston,Single Family,7,4.0,4092,15333,1933,502409.71,413004.5,True
P-100062,Philadelphia,PA,Philadelphia,Multi Family,3,3.0,3666,6166,2007,839928.33,694929.35,False
P-100063,Fort Wayne,IN,Allen,Multi Family,7,1.0,2956,12793,1959,394284.02,375446.61,True
P-100064,Cleveland,OH,Cuyahoga,Condo,7,5.0,815,10792,2004,766979.42,620245.48,True
P-100065,Louisville,KY,Jefferson,Single Family,6,5.0,2362,8525,1973,473843.72,431679.18,True
P-100066,Queens,NY,Queens,Multi Family,4,4.5,3992,8467,1947,2752576.59,2487095.69,True
P-100067,Lakewood,CO,Jefferson,Condo,3,2.5,1724,5910,1957,693746.83,658515.31,False
P-100068,Irvine,CA,Orange,Townhouse,5,4.0,5297,11923,2010,2402432.09,2004954.53,True
P-100069,Fort Lauderdale,FL,Broward,Condo,6,3.5,2415,7871,2019,251143.51,248623.89,True
P-100070,Scottsdale,AZ,Maricopa,Single Family,2,4.5,4400,13636,2017,571985.11,616168.83,False
P-100071,Las Vegas,NV,Clark,Condo,5,1.0,3483,11795,1929,362118.12,293779.98,False
P-100072,Boston,MA,Suffolk,Single Family,4,2.5,3233,13145,1980,1979170.27,1850834.8,False
P-100073,Charlotte,NC,Mecklenburg,Townhouse,3,4.0,3948,9491,2006,586350.97,580057.06,False
P-100075,Sacramento,CA,Sacramento,Condo,3,4.5,2172,5883,1937,922582.78,971782.75,False
P-100076,Omaha,NE,Douglas,Townhouse,7,2.0,4185,4900,1972,404153.54,352122.43,False
P-100077,Lakewood,CO,Jefferson,Single Family,4,3.0,3728,11967,1987,802392.99,838554.73,False
P-100078,Indianapolis,IN,Marion,Single Family,5,2.0,4183,5685,1948,757028.54,685016.6,True
P-100080,Waukegan,IL,Lake,Single Family,1,2.5,4039,14507,2021,605792.24,504780.85,True
P-100081,Manhattan,NY,New York,Multi Family,2,1.5,4888,10796,1928,3357881.22,3197368.82,True
P-100082,Cleveland,OH,Cuyahoga,Single Family,7,3.5,1692,2418,1965,545890.72,541981.42,False
P-100083,Oakland,CA,Alameda,Single Family,3,3.0,4822,11346,1989,1893869.29,1943085.79,False
P-100084,Seattle,WA,King,Multi Family,3,2.0,4664,16002,1983,1570408.13,1500969.01,False
P-100085,Provo,UT,Utah,Condo,4,4.0,1965,13266,1976,394206.65,401319.84,False
P-100086,Columbus,OH,Franklin,Single Family,1,2.0,1150,5016,2019,623227.04,570163.2,True
P-100087,Cleveland,OH,Cuyahoga,Townhouse,6,3.0,2644,4502,1923,693826.39,662828.71,False
P-100088,Fairfax,VA,Fairfax,Single Family,1,3.5,6070,11762,2010,377926.89,335262.23,False
P-100089,Atlanta,GA,Fulton,Single Family,2,4.5,815,6727,1990,566376.38,589653.61,True
P-100091,Tampa,FL,Hillsborough,Condo,3,5.0,2926,4218,1952,273115.5,240979.45,True
P-100092,Queens,NY,Queens,Single Family,1,3.0,5934,9387,2018,2195018.47,2176794.02,False
P-100093,Baltimore,MD,Baltimore,Single Family,4,4.0,4566,12175,1946,708231.08,632999.06,True
P-100095,Lawrenceville,GA,Gwinnett,Single Family,1,1.5,3821,12102,1978,874015.57,852168.01,False
P-100096,Rockville,MD,Montgomery,Townhouse,7,4.0,3597,4338,1971,361389.22,310215.27,True
P-100097,Wichita,KS,Sedgwick,Townhouse,5,3.5,1781,5042,1997,517115.56,419937.38,True
P-100098,Brooklyn,NY,Kings,Condo,5,3.5,4755,13106,1988,1944032.29,1730066.59,False
P-100099,Oklahoma City,OK,Oklahoma,Townhouse,2,1.0,5380,13251,1941,528901.22,521454.68,True
P-100100,Portland,OR,Multnomah,Condo,7,4.5,1110,12673,1937,922419.85,827885.52,False
P-100101,Nashville,TN,Davidson,Condo,5,4.5,2175,6213,1955,555307.59,601090.29,False
P-100102,Memphis,TN,Shelby,Multi Family,4,3.5,1799,6557,1925,344351.67,283645.51,True
P-100103,Seattle,WA,King,Condo,2,1.0,6087,14787,1948,2395730.95,1988598.97,False
P-100104,Philadelphia,PA,Philadelphia,Townhouse,3,1.0,1332,12019,1993,301131.76,306231.52,False
P-100105,Troy,MI,Oakland,Townhouse,5,1.5,3344,8006,1978,891497.59,853426.69,True
P-100106,Kansas City,MO,Jackson,Townhouse,6,2.5,2037,12046,2001,819693.35,760930.33,True
P-100107,Charlotte,NC,Mecklenburg,Townhouse,3,1.0,2742,13451,1966,660359.5,660581.27,True
P-100108,Honolulu,HI,Honolulu,Single Family,2,4.5,5562,11683,1973,2590919.22,2661405.58,False
P-100109,San Francisco,CA,San Francisco,Townhouse,1,1.0,5086,13367,1945,2196740.11,1865825.7,False
P-100110,Eugene,OR,Lane,Single Family,5,4.5,6111,11160,2012,326124.55,340779.27,True
P-100111,Provo,UT,Utah,Single Family,7,4.0,3667,9933,1977,798303.82,728606.84,False
P-100112,Tampa,FL,Hillsborough,Single Family,7,1.0,3044,10629,2006,680893.3,653371.65,True
P-100113,Fort Worth,TX,Tarrant,Single Family,4,1.0,2604,3328,1971,462390.99,400051.79,False
P-100114,Las Vegas,NV,Clark,Condo,2,4.0,3061,7569,1927,554240.13,589663.93,True
P-100115,Columbia,SC,Richland,Condo,4,2.5,2446,7373,2010,232594.36,249904.58,True
P-100116,Naperville,IL,DuPage,Condo,1,3.0,3689,14726,1997,590279.2,485112.28,True
P-100117,Waukegan,IL,Lake,Condo,4,2.5,5122,10391,2019,340786.17,327187.11,False
P-100119,Billings,MT,Yellowstone,Single Family,4,2.0,3485,6258,1937,681844.55,583123.23,True
P-100120,San Diego,CA,San Diego,Single Family,1,2.5,4742,12213,1967,634372.86,634389.62,True
P-100121,Indianapolis,IN,Marion,Condo,1,5.0,6316,17359,1975,748810.81,623089.17,False
P-100122,Seattle,WA,King,Condo,6,2.5,3057,14264,1930,2443893.94,2431597.09,True
P-100124,Atlanta,GA,Fulton,Multi Family,1,3.0,1930,11169,1950,562022.82,515232.72,True
P-100125,Boston,MA,Suffolk,Townhouse,5,4.0,3273,3758,2001,1283647.44,1215846.51,True
P-100126,San Francisco,CA,San Francisco,Single Family,6,4.0,3194,9103,1933,729137.31,680591.9,True
P-100127,Fort Wayne,IN,Allen,Single Family,5,3.5,3755,3957,1957,442771.85,365468.25,True
P-100128,Cincinnati,OH,Hamilton,Single Family,2,4.0,2860,9759,1958,497700.42,452079.94,False
P-100129,Fort Lauderdale,FL,Broward,Townhouse,4,3.5,4206,9690,1975,756070.87,752525.7,False
P-100130,Atlanta,GA,Fulton,Townhouse,7,2.5,3269,9430,1955,756865.72,688372.9,False
P-100131,Naperville,IL,DuPage,Multi Family,6,4.5,1740,12116,1958,308776.51,261299.95,False
P-100133,Reno,NV,Washoe,Condo,5,2.5,4251,10380,1970,481189.3,469918.4,True
P-100134,Orlando,FL,Orange,Condo,4,3.5,4500,6099,1976,683155.28,611883.63,True
P-100135,Hempstead,NY,Nassau,Single Family,2,4.0,5758,8780,1943,2403460.57,2207998.45,True
P-100136,Austin,TX,Travis,Single Family,5,1.5,4998,8061,1966,374268.23,312209.5,True
P-100137,Wichita,KS,Sedgwick,Single Family,7,3.0,5633,15302,1930,644245.86,538176.25,True
P-100138,Pittsburgh,PA,Allegheny,Condo,6,2.0,5145,7878,1982,345291.12,308819.4,True
P-100139,Fort Wayne,IN,Allen,Single Family,4,2.0,1277,10540,1923,740787.09,657542.6,False
P-100140,Arlington,VA,Arlington,Condo,7,3.5,5040,5721,2017,1162776.29,1006455.65,True
P-100141,Memphis,TN,Shelby,Townhouse,6,3.5,6422,16420,2000,453970.31,382138.81,True
P-100143,Fairfax,VA,Fairfax,Single Family,4,5.0,2879,14261,1967,845634.78,759537.98,False
P-100144,Honolulu,HI,Honolulu,Condo,4,3.0,3244,7890,1963,2119297.13,2055384.71,True
P-100145,Dallas,TX,Dallas,Multi Family,2,2.0,5924,10869,1940,802050.23,707573.39,False
P-100146,Hempstead,NY,Nassau,Condo,4,1.5,6364,7923,1920,1100934.59,924575.81,True
P-100147,Minneapolis,MN,Hennepin,Single Family,1,3.5,3611,8513,1937,418522.42,429381.96,True
P-100148,Houston,TX,Harris,Single Family,4,4.5,2379,3799,1932,229210.25,223909.12,False
P-100149,Tacoma,WA,Pierce,Condo,7,1.0,5993,10935,1946,2029134.84,1738144.64,True
P-100150,Honolulu,HI,Honolulu,Townhouse,3,2.0,3768,13080,1973,1564508.01,1332696.57,True
P-100152,Salt Lake City,UT,Salt Lake,Single Family,3,4.0,2554,3502,1951,187245.98,156312.19,False
P-100153,Tampa,FL,Hillsborough,Condo,5,3.0,1967,8059,1936,704825.58,620690.09,False
P-100154,Durham,NC,Durham,Single Family,7,2.0,3612,6189,1952,723196.58,724813.74,True
P-100155,Charlotte,NC,Mecklenburg,Single Family,5,4.0,2439,7711,1951,444680.15,398424.76,False
P-100156,Atlanta,GA,Fulton,Condo,7,3.0,3281,4696,1990,476262.02,409681.23,True
P-100157,Chicago,IL,Cook,Condo,5,3.5,5809,17170,1921,861772.4,885625.18,True
P-100158,Fairfax,VA,Fairfax,Condo,4,3.5,4355,5746,1994,414692.41,411028.48,True
P-100160,St. Louis,MO,St. Louis,Townhouse,1,2.5,3285,5715,1931,674702.77,619966.39,True
P-100161,Fort Wayne,IN,Allen,Single Family,1,1.0,1105,4746,1936,274543.77,250293.85,True
P-100162,Dallas,TX,Dallas,Townhouse,1,1.0,4376,5205,1941,840822.75,879925.73,True
P-100163,Tacoma,WA,Pierce,Condo,6,3.0,4686,11436,1990,1911044.34,1689234.77,True
P-100165,Miami,FL,Miami-Dade,Single Family,7,2.5,5316,11679,1965,849460.71,723837.03,True
P-100166,San Antonio,TX,Bexar,Single Family,5,3.0,2038,10073,1924,190400.75,186687.71,False
P-100167,Jacksonville,FL,Duval,Single Family,7,1.5,4911,10889,1929,411400.81,377945.15,False
P-100169,Fort Worth,TX,Tarrant,Single Family,2,3.5,1237,5136,1964,886256.13,878152.23,False
P-100171,Lexington,KY,Fayette,Condo,1,3.5,2739,4454,1929,386610.4,352835.1,True
P-100172,San Antonio,TX,Bexar,Single Family,3,2.5,2156,8861,2009,552207.7,531244.59,True
P-100173,Indianapolis,IN,Marion,Condo,7,4.5,2235,3824,1923,281423.33,249775.43,False
P-100174,Sacramento,CA,Sacramento,Single Family,4,1.0,2756,9960,1979,1253372.47,1103680.44,True
P-100175,Memphis,TN,Shelby,Multi Family,7,5.0,4029,12802,2007,796177.33,773736.5,False
P-100176,Boston,MA,Suffolk,Single Family,2,2.5,1633,2332,1974,689023.99,641218.11,True
P-100177,Sacramento,CA,Sacramento,Single Family,7,1.0,6337,16545,1995,2043814.13,1704041.58,False
P-100178,Fort Lauderdale,FL,Broward,Multi Family,3,4.0,5964,13919,1993,594990.48,506729.54,False
P-100179,Troy,MI,Oakland,Townhouse,1,3.5,3082,8176,1955,777420.32,784304.26,True
P-100180,Seattle,WA,King,Multi Family,6,4.5,4831,10957,1927,2021572.59,1657052.91,False
P-100181,San Antonio,TX,Bexar,Single Family,1,3.5,6372,9634,1955,407314.5,387575.19,True
P-100183,Naperville,IL,DuPage,Single Family,4,2.0,5903,8740,1996,744674.55,652124.26,True
P-100185,Tacoma,WA,Pierce,Condo,2,2.0,4837,8774,1927,2906560.96,3031568.35,False
P-100186,Durham,NC,Durham,Townhouse,7,2.5,3411,15314,2011,293443.29,290947.28,True
P-100188,Rockville,MD,Montgomery,Multi Family,5,3.0,3984,4869,1939,464838.31,419656.48,True
P-100189,San Francisco,CA,San Francisco,Single Family,1,4.5,2840,6270,2017,2809303.93,2891743.29,True
P-100190,Honolulu,HI,Honolulu,Single Family,5,2.5,3656,3886,1961,2758385.6,2364413.7,True
P-100191,Lakewood,CO,Jefferson,Single Family,7,1.0,3042,7806,1978,1173398.29,1123218.26,False
P-100193,San Diego,CA,San Diego,Single Family,6,1.5,4014,11293,1968,826964.94,779264.69,True
P-100194,Miami,FL,Miami-Dade,Single Family,5,1.5,2915,4782,2020,202885.69,199375.88,False
P-100195,Bronx,NY,Bronx,Condo,1,1.0,6102,7560,1934,2997458.1,2842283.32,False
P-100196,Kansas City,MO,Jackson,Single Family,7,3.0,3550,14638,1960,452276.26,374710.67,False
P-100197,Knoxville,TN,Knox,Single Family,4,4.0,4339,8792,1969,658123.9,684428.93,True
P-100198,Bronx,NY,Bronx,Single Family,2,4.0,3537,13553,1923,3080856.11,3239707.96,False
P-100199,Los Angeles,CA,Los Angeles,Condo,7,2.5,6087,11629,1986,2045464.68,2015747.57,True
P-100200,Queens,NY,Queens,Single Family,7,4.5,1954,3180,2016,1949526.28,1753147.48,False
P-100201,Scottsdale,AZ,Maricopa,Single Family,4,3.5,1572,9720,2015,629630.94,579910.18,False
P-100202,Honolulu,HI,Honolulu,Townhouse,3,1.0,2426,9871,1962,2158460.08,2115259.25,True
P-100203,Nashville,TN,Davidson,Single Family,2,4.5,1750,13494,2015,682816.09,598342.72,True
P-100204,Nashville,TN,Davidson,Townhouse,1,4.5,4346,15134,1995,865828.45,943022.62,False
P-100205,Atlanta,GA,Fulton,Townhouse,3,5.0,3751,10610,1997,834409.99,729667.87,False
P-100206,Cambridge,MA,Middlesex,Townhouse,6,3.0,6224,11881,2006,854648.77,850397.68,True
P-100207,Fort Wayne,IN,Allen,Condo,7,4.0,704,9268,1933,139712.27,113993.97,False
P-100208,San Jose,CA,Santa Clara,Single Family,5,5.0,2437,13039,1991,1636104.32,1693845.96,False
P-100209,Pittsburgh,PA,Allegheny,Single Family,7,2.5,5791,17335,2010,625153.26,610471.91,False
P-100210,Eugene,OR,Lane,Single Family,4,1.0,4110,8682,1991,617087.51,601781.16,False
P-100211,Queens,NY,Queens,Single Family,7,5.0,3533,4727,2020,2608428.76,2258869.58,True
P-100212,Grand Rapids,MI,Kent,Townhouse,3,3.0,2389,12518,1987,490388.61,513489.11,True
P-100213,Charlotte,NC,Mecklenburg,Multi Family,3,5.0,2916,3320,1986,761245.07,726450.63,False
P-100214,Henderson,NV,Clark,Condo,5,1.0,5735,6807,1946,642861.4,555401.74,True
P-100215,Queens,NY,Queens,Single Family,7,3.0,5171,6325,1993,2955938.92,2726232.41,True
P-100216,Tampa,FL,Hillsborough,Townhouse,1,1.5,3530,11768,1933,346072.55,308144.8,True
P-100219,St. Louis,MO,St. Louis,Condo,6,4.5,3310,9161,1936,643610.54,534205.45,True
P-100220,New Orleans,LA,Orleans,Townhouse,2,2.5,6434,16933,1975,335810.27,282178.6,True
P-100222,Indianapolis,IN,Marion,Condo,7,3.0,1696,9309,1984,518121.35,471055.03,True
P-100223,Bronx,NY,Bronx,Single Family,2,1.5,2765,8817,1949,580565.74,554652.52,True
P-100224,Henderson,NV,Clark,Multi Family,6,4.0,3592,13220,2003,820616.76,783688.08,True
P-100225,Fairfax,VA,Fairfax,Condo,1,5.0,5871,10471,1947,480288.49,436422.25,True
P-100227,Charleston,SC,Charleston,Condo,4,4.5,4545,7339,1948,767683.59,647014.2,False
P-100228,Kansas City,MO,Jackson,Single Family,2,5.0,4731,15943,1973,764681.06,633836.16,False
P-100229,Boston,MA,Suffolk,Condo,7,1.0,6158,16795,1975,2042234.9,2169766.94,False
P-100231,Las Vegas,NV,Clark,Condo,3,5.0,4069,13320,1966,597266.93,549029.41,True
P-100235,Grand Rapids,MI,Kent,Single Family,1,5.0,2930,14827,1991,833707.0,753873.32,False
P-100236,Austin,TX,Travis,Condo,3,3.5,1558,9967,1952,803368.18,833909.65,True
P-100237,Kansas City,MO,Jackson,Condo,6,2.5,3186,9943,1965,522873.29,528230.42,False
P-100238,Atlanta,GA,Fulton,Single Family,6,2.5,4687,7958,1950,693634.67,610136.05,True
P-100239,Tampa,FL,Hillsborough,Single Family,7,4.5,3640,13809,1960,504025.49,538853.62,True
P-100240,Lexington,KY,Fayette,Condo,1,5.0,3444,9894,2007,725205.09,792614.47,True
P-100241,New Orleans,LA,Orleans,Condo,3,2.5,2806,10528,1998,387615.24,368091.45,True
P-100242,Decatur,GA,DeKalb,Condo,7,2.5,5149,12230,1968,272929.31,296877.32,True
P-100244,Fort Wayne,IN,Allen,Townhouse,2,5.0,2029,6692,1965,373570.42,353490.31,False
P-100245,Hempstead,NY,Nassau,Single Family,1,2.0,3414,7153,1960,1416478.64,1435077.07,False
P-100246,Baton Rouge,LA,East Baton Rouge,Single Family,6,2.5,6023,10145,2015,666543.6,575341.4,True
P-100247,Troy,MI,Oakland,Multi Family,3,2.5,2626,7281,1976,608654.93,583105.24,False
P-100248,Rockville,MD,Montgomery,Condo,2,4.5,5769,16186,1992,821972.85,815280.74,True
P-100249,Columbus,OH,Franklin,Single Family,3,3.0,4443,13210,1921,656460.57,711660.54,False
P-100250,Tucson,AZ,Pima,Multi Family,2,2.0,6456,17039,1969,766172.95,673384.87,False
P-100251,Seattle,WA,King,Single Family,3,1.5,5817,13277,1999,1830940.06,1806819.5,False
P-100252,Decatur,GA,DeKalb,Single Family,2,1.5,1834,2075,1983,289406.71,258577.08,False
P-100253,San Francisco,CA,San Francisco,Single Family,2,2.5,2648,8899,1921,821982.75,833823.21,False
P-100254,Chicago,IL,Cook,Multi Family,6,3.0,3246,5844,2000,688024.92,743910.62,True
P-100255,San Diego,CA,San Diego,Single Family,7,3.0,5389,7349,1970,2856888.53,3115866.84,True
P-100256,Sacramento,CA,Sacramento,Single Family,1,3.5,5880,8401,2009,2085877.64,1747440.32,False
P-100257,Lawrenceville,GA,Gwinnett,Single Family,4,4.5,5179,10007,1989,663689.46,643785.76,True
P-100258,Indianapolis,IN,Marion,Condo,5,3.5,4319,4330,2019,617660.33,630073.65,False
P-100259,Salt Lake City,UT,Salt Lake,Single Family,5,3.0,3242,9956,2002,371178.76,355203.29,False
P-100260,Fort Lauderdale,FL,Broward,Multi Family,6,4.5,4907,15130,2009,580434.71,528141.14,False
P-100262,Lawrenceville,GA,Gwinnett,Condo,4,1.5,5831,15277,1965,646104.2,645828.12,True
P-100263,Salt Lake City,UT,Salt Lake,Townhouse,7,3.5,3977,14352,1975,764400.88,751042.22,True
P-100264,Eugene,OR,Lane,Condo,2,3.0,653,5573,1948,557787.38,449861.33,True
P-100265,Fort Worth,TX,Tarrant,Townhouse,2,2.5,2699,7619,1931,564979.98,607559.44,True
P-100266,Oklahoma City,OK,Oklahoma,Townhouse,3,4.0,4012,5986,2018,296839.78,313119.5,True
P-100267,Provo,UT,Utah,Single Family,6,4.0,4250,14000,1993,513688.89,477515.28,True
P-100268,Indianapolis,IN,Marion,Single Family,7,2.0,4539,13702,1945,500531.66,486216.06,True
P-100269,Seattle,WA,King,Multi Family,4,3.5,3453,6573,1961,1500800.97,1211539.67,False
P-100270,Omaha,NE,Douglas,Townhouse,2,1.5,1520,2413,1951,860173.91,912322.56,True
P-100272,St. Louis,MO,St. Louis,Townhouse,7,1.5,756,5548,2003,421488.12,401493.61,False
P-100273,Chicago,IL,Cook,Condo,5,3.0,3332,11359,1970,700624.76,633388.58,False
P-100275,Minneapolis,MN,Hennepin,Single Family,5,5.0,6203,9517,1937,361018.75,386143.11,False
P-100277,Jacksonville,FL,Duval,Townhouse,2,2.5,2491,13752,1923,400223.84,413810.59,False
P-100278,Fairfax,VA,Fairfax,Single Family,3,4.0,2423,13422,1945,1209331.91,1031709.42,True
P-100279,Charlotte,NC,Mecklenburg,Townhouse,4,5.0,4902,15410,2010,733797.49,611102.8,True
P-100280,Fort Wayne,IN,Allen,Condo,7,3.0,4379,7106,1974,349647.39,352089.99,True
P-100281,New Orleans,LA,Orleans,Single Family,4,2.5,4324,5801,1952,372778.33,399673.82,True
P-100282,Honolulu,HI,Honolulu,Condo,5,2.0,3702,12718,1968,583913.55,626933.87,False
P-100283,Pittsburgh,PA,Allegheny,Single Family,2,1.0,5700,9846,1921,477741.27,453659.61,True
P-100284,Rockville,MD,Montgomery,Condo,5,3.0,5677,15976,1991,1284145.67,1046162.2,True
P-100285,Tulsa,OK,Tulsa,Single Family,2,3.0,5606,16434,2008,665880.52,689980.25,True
P-100286,Sacramento,CA,Sacramento,Multi Family,7,5.0,1131,5928,1980,860364.66,910112.99,False
P-100289,Oakland,CA,Alameda,Single Family,6,3.5,3396,9884,2012,2185210.7,2293625.19,True
P-100290,Fort Worth,TX,Tarrant,Condo,3,4.5,3991,4908,1986,353488.12,354710.94,False
P-100292,Aurora,CO,Arapahoe,Condo,1,4.5,4745,5153,2022,879195.83,743996.03,True
P-100293,Charleston,SC,Charleston,Condo,1,1.0,3147,3868,2007,781536.74,645645.29,False
P-100294,Lakewood,CO,Jefferson,Townhouse,7,4.5,6097,8024,1954,479184.87,399802.2,True
P-100296,Albuquerque,NM,Bernalillo,Condo,1,4.5,5251,7410,1931,754023.79,709146.38,False
P-100297,Manhattan,NY,New York,Townhouse,7,3.5,4313,12300,1923,649363.86,587954.98,True
P-100298,Fort Lauderdale,FL,Broward,Condo,5,4.5,3883,13558,1972,306088.73,295187.29,False
P-100299,Louisville,KY,Jefferson,Townhouse,7,4.5,1536,11238,1996,481068.58,398948.33,True
P-100300,Cincinnati,OH,Hamilton,Single Family,5,1.0,1801,12628,1939,473320.05,434032.02,False
P-100301,Louisville,KY,Jefferson,Townhouse,5,4.0,1644,6463,1927,407993.86,444864.21,False
P-100302,Baton Rouge,LA,East Baton Rouge,Condo,6,2.0,4490,6768,1944,553228.83,596018.1,True
P-100303,Manhattan,NY,New York,Multi Family,7,4.5,6296,16198,1974,2350907.87,2240002.56,True
P-100304,Tulsa,OK,Tulsa,Condo,5,3.5,874,1494,1992,496949.14,414430.39,False
P-100305,St. Louis,MO,St. Louis,Single Family,6,1.5,6203,16585,1989,742516.63,730570.83,True
P-100306,Lexington,KY,Fayette,Condo,2,1.0,6293,16084,2015,357175.26,346142.79,True
P-100307,San Antonio,TX,Bexar,Condo,3,2.0,5644,10247,1955,789129.54,806828.73,True
P-100308,Durham,NC,Durham,Townhouse,1,2.0,5478,8003,1983,707153.81,729153.6,True
P-100310,Columbia,SC,Richland,Multi Family,5,3.0,3344,7773,1954,745806.76,743049.5,True
P-100311,Baton Rouge,LA,East Baton Rouge,Condo,1,1.0,1156,1351,1972,196205.03,197313.56,True
P-100312,San Jose,CA,Santa Clara,Single Family,1,2.0,3679,14433,2017,3194686.51,3325540.93,True
P-100313,Irvine,CA,Orange,Townhouse,3,2.0,1206,5749,2019,640281.51,576123.01,True
P-100315,Billings,MT,Yellowstone,Townhouse,4,1.0,4822,16415,2018,502729.97,463101.69,True
